4001;3005;2005;3;77.88
4002;3006;2005;5;20.65
4003;3006;2005;6;24.78
4004;3006;2005;6;24.78
4005;3006;2005;4;16.52
4006;3005;2005;3;77.88
4007;3006;2004;1;4.13
4008;3004;2003;3;157.176
4009;3006;2004;3;12.39
4010;3005;2005;2;51.92
4010;3005;2005;2;51.92
4011;3005;2005;2;51.92
4012;3006;2003;4;16.52
4013;3007;2004;2;8.26
4014;3007;2004;4;16.52
4015;3006;2005;3;12.39
4016;3003;2006;2;50.8108
4017;3008;2004;3;177.0
4018;3009;2004;1;76.936
4019;3003;2005;2;38.94
4020;3003;2004;2;38.94
4021;3006;2006;2;44.84
4022;3006;2005;3;67.26
